Year,City,Violations,Statistics,Value
2021,"London, Ontario [35555]",Robbery [1610],"Rate per 100,000 population",69.32
2022,"London, Ontario [35555]",Robbery [1610],"Rate per 100,000 population",63.62
2023,"London, Ontario [35555]",Robbery [1610],"Rate per 100,000 population",61.61
2024,"London, Ontario [35555]",Robbery [1610],"Rate per 100,000 population",58.51
2021,"London, Ontario [35555]",Robbery [1610],Percentage change in rate,30.56
2022,"London, Ontario [35555]",Robbery [1610],Percentage change in rate,-8.22
2023,"London, Ontario [35555]",Robbery [1610],Percentage change in rate,-3.17
2024,"London, Ontario [35555]",Robbery [1610],Percentage change in rate,-5.04
2021,"London, Ontario [35555]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),7.15
2022,"London, Ontario [35555]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),6.9
2023,"London, Ontario [35555]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),7.7
2024,"London, Ontario [35555]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),7.75
2021,"London, Ontario [35555]",Robbery [1610],Unfounded incidents,13
2022,"London, Ontario [35555]",Robbery [1610],Unfounded incidents,2
2023,"London, Ontario [35555]",Robbery [1610],Unfounded incidents,2
2024,"London, Ontario [35555]",Robbery [1610],Unfounded incidents,4
2021,"London, Ontario [35555]",Robbery [1610],Percent unfounded,3.19
2022,"London, Ontario [35555]",Robbery [1610],Percent unfounded,0.53
2023,"London, Ontario [35555]",Robbery [1610],Percent unfounded,0.53
2024,"London, Ontario [35555]",Robbery [1610],Percent unfounded,1.08
2021,"London, Ontario [35555]",Robbery [1610],Total cleared,217
2022,"London, Ontario [35555]",Robbery [1610],Total cleared,182
2023,"London, Ontario [35555]",Robbery [1610],Total cleared,212
2024,"London, Ontario [35555]",Robbery [1610],Total cleared,197
2021,"London, Ontario [35555]",Robbery [1610],Cleared by charge,201
2022,"London, Ontario [35555]",Robbery [1610],Cleared by charge,165
2023,"London, Ontario [35555]",Robbery [1610],Cleared by charge,191
2024,"London, Ontario [35555]",Robbery [1610],Cleared by charge,177
2021,"London, Ontario [35555]",Robbery [1610],Cleared otherwise,16
2022,"London, Ontario [35555]",Robbery [1610],Cleared otherwise,17
2023,"London, Ontario [35555]",Robbery [1610],Cleared otherwise,21
2024,"London, Ontario [35555]",Robbery [1610],Cleared otherwise,20
2021,"London, Ontario [35555]",Robbery [1610],"Total, persons charged",215
2022,"London, Ontario [35555]",Robbery [1610],"Total, persons charged",185
2023,"London, Ontario [35555]",Robbery [1610],"Total, persons charged",213
2024,"London, Ontario [35555]",Robbery [1610],"Total, persons charged",198
2021,"London, Ontario [35555]",Total impaired driving [910],Actual incidents,612
2022,"London, Ontario [35555]",Total impaired driving [910],Actual incidents,693
2023,"London, Ontario [35555]",Total impaired driving [910],Actual incidents,700
2024,"London, Ontario [35555]",Total impaired driving [910],Actual incidents,691
2021,"London, Ontario [35555]",Total impaired driving [910],"Rate per 100,000 population",107.41
2022,"London, Ontario [35555]",Total impaired driving [910],"Rate per 100,000 population",117.89
2023,"London, Ontario [35555]",Total impaired driving [910],"Rate per 100,000 population",115.01
2024,"London, Ontario [35555]",Total impaired driving [910],"Rate per 100,000 population",110.16
2021,"London, Ontario [35555]",Total impaired driving [910],Percentage change in rate,6.13
2022,"London, Ontario [35555]",Total impaired driving [910],Percentage change in rate,9.76
2023,"London, Ontario [35555]",Total impaired driving [910],Percentage change in rate,-2.45
2024,"London, Ontario [35555]",Total impaired driving [910],Percentage change in rate,-4.22
2021,"London, Ontario [35555]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.44
2022,"London, Ontario [35555]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.53
2023,"London, Ontario [35555]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.58
2024,"London, Ontario [35555]",Total impaired driving [910],Percentage contribution to the Crime Severity Index (CSI),0.58
2021,"London, Ontario [35555]",Total impaired driving [910],Unfounded incidents,4
2022,"London, Ontario [35555]",Total impaired driving [910],Unfounded incidents,2
2023,"London, Ontario [35555]",Total impaired driving [910],Unfounded incidents,3
2024,"London, Ontario [35555]",Total impaired driving [910],Unfounded incidents,1
2021,"London, Ontario [35555]",Total impaired driving [910],Percent unfounded,0.65
2022,"London, Ontario [35555]",Total impaired driving [910],Percent unfounded,0.29
2023,"London, Ontario [35555]",Total impaired driving [910],Percent unfounded,0.43
2024,"London, Ontario [35555]",Total impaired driving [910],Percent unfounded,0.14
2021,"London, Ontario [35555]",Total impaired driving [910],Total cleared,582
2022,"London, Ontario [35555]",Total impaired driving [910],Total cleared,658
2023,"London, Ontario [35555]",Total impaired driving [910],Total cleared,683
2024,"London, Ontario [35555]",Total impaired driving [910],Total cleared,671
2021,"London, Ontario [35555]",Total impaired driving [910],Cleared by charge,581
2022,"London, Ontario [35555]",Total impaired driving [910],Cleared by charge,646
2023,"London, Ontario [35555]",Total impaired driving [910],Cleared by charge,671
2024,"London, Ontario [35555]",Total impaired driving [910],Cleared by charge,668
2021,"London, Ontario [35555]",Total impaired driving [910],Cleared otherwise,1
2022,"London, Ontario [35555]",Total impaired driving [910],Cleared otherwise,12
2023,"London, Ontario [35555]",Total impaired driving [910],Cleared otherwise,12
2024,"London, Ontario [35555]",Total impaired driving [910],Cleared otherwise,3
2021,"London, Ontario [35555]",Total impaired driving [910],"Total, persons charged",575
2022,"London, Ontario [35555]",Total impaired driving [910],"Total, persons charged",649
2023,"London, Ontario [35555]",Total impaired driving [910],"Total, persons charged",673
2024,"London, Ontario [35555]",Total impaired driving [910],"Total, persons charged",675
2021,"London, Ontario [35555]",Total drug violations [401],Actual incidents,467
2022,"London, Ontario [35555]",Total drug violations [401],Actual incidents,443
2023,"London, Ontario [35555]",Total drug violations [401],Actual incidents,433
2024,"London, Ontario [35555]",Total drug violations [401],Actual incidents,446
2021,"London, Ontario [35555]",Total drug violations [401],"Rate per 100,000 population",81.96
2022,"London, Ontario [35555]",Total drug violations [401],"Rate per 100,000 population",75.36
2023,"London, Ontario [35555]",Total drug violations [401],"Rate per 100,000 population",71.14
2024,"London, Ontario [35555]",Total drug violations [401],"Rate per 100,000 population",71.1
2021,"London, Ontario [35555]",Total drug violations [401],Percentage change in rate,2.45
2022,"London, Ontario [35555]",Total drug violations [401],Percentage change in rate,-8.05
2023,"London, Ontario [35555]",Total drug violations [401],Percentage change in rate,-5.6
2024,"London, Ontario [35555]",Total drug violations [401],Percentage change in rate,-0.06
2021,"London, Ontario [35555]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),2.31
2022,"London, Ontario [35555]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),2.12
2023,"London, Ontario [35555]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),2.89
2024,"London, Ontario [35555]",Total drug violations [401],Percentage contribution to the Crime Severity Index (CSI),3.26
2021,"London, Ontario [35555]",Total drug violations [401],Unfounded incidents,6
2022,"London, Ontario [35555]",Total drug violations [401],Unfounded incidents,2
2023,"London, Ontario [35555]",Total drug violations [401],Unfounded incidents,3
2024,"London, Ontario [35555]",Total drug violations [401],Unfounded incidents,0
2021,"London, Ontario [35555]",Total drug violations [401],Percent unfounded,1.27
2022,"London, Ontario [35555]",Total drug violations [401],Percent unfounded,0.45
2023,"London, Ontario [35555]",Total drug violations [401],Percent unfounded,0.69
2024,"London, Ontario [35555]",Total drug violations [401],Percent unfounded,0
2021,"London, Ontario [35555]",Total drug violations [401],Total cleared,413
2022,"London, Ontario [35555]",Total drug violations [401],Total cleared,368
2023,"London, Ontario [35555]",Total drug violations [401],Total cleared,372
2024,"London, Ontario [35555]",Total drug violations [401],Total cleared,373
2021,"London, Ontario [35555]",Total drug violations [401],Cleared by charge,326
2022,"London, Ontario [35555]",Total drug violations [401],Cleared by charge,303
2023,"London, Ontario [35555]",Total drug violations [401],Cleared by charge,298
2024,"London, Ontario [35555]",Total drug violations [401],Cleared by charge,306
2021,"London, Ontario [35555]",Total drug violations [401],Cleared otherwise,87
2022,"London, Ontario [35555]",Total drug violations [401],Cleared otherwise,65
2023,"London, Ontario [35555]",Total drug violations [401],Cleared otherwise,74
2024,"London, Ontario [35555]",Total drug violations [401],Cleared otherwise,67
2021,"London, Ontario [35555]",Total drug violations [401],"Total, persons charged",420
2022,"London, Ontario [35555]",Total drug violations [401],"Total, persons charged",369
2023,"London, Ontario [35555]",Total drug violations [401],"Total, persons charged",371
2024,"London, Ontario [35555]",Total drug violations [401],"Total, persons charged",432
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,19480
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,20178
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,22386
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,23272
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",4430.53
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",4458.52
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",4776.4
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",4811.38
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,-1.45
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,0.63
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,7.13
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,0.73
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),89.15
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),95.91
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),96.7
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),97.91
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,580
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,550
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,699
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,595
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,2.89
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,2.65
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,3.03
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,2.49
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,6814
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,6666
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,7782
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,8606
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,5606
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,5530
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,6384
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,7009
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,1208
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,1136
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,1398
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]",Cleared otherwise,1597
2021,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",5271
2022,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",5162
2023,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",5978
2024,"Windsor, Ontario [35559]","Total, all Criminal Code violations (including traffic) [25]","Total, persons charged",6481
2021,"Windsor, Ontario [35559]",Homicide [110],Actual incidents,10
2022,"Windsor, Ontario [35559]",Homicide [110],Actual incidents,4
2023,"Windsor, Ontario [35559]",Homicide [110],Actual incidents,5
2024,"Windsor, Ontario [35559]",Homicide [110],Actual incidents,6
2021,"Windsor, Ontario [35559]",Homicide [110],"Rate per 100,000 population",2.27
2022,"Windsor, Ontario [35559]",Homicide [110],"Rate per 100,000 population",0.88
2023,"Windsor, Ontario [35559]",Homicide [110],"Rate per 100,000 population",1.07
2024,"Windsor, Ontario [35559]",Homicide [110],"Rate per 100,000 population",1.24
2021,"Windsor, Ontario [35559]",Homicide [110],Percentage change in rate,65.12
2022,"Windsor, Ontario [35559]",Homicide [110],Percentage change in rate,
2023,"Windsor, Ontario [35559]",Homicide [110],Percentage change in rate,
2024,"Windsor, Ontario [35559]",Homicide [110],Percentage change in rate,16.28
2021,"Windsor, Ontario [35559]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),3.67
2022,"Windsor, Ontario [35559]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),2.06
2023,"Windsor, Ontario [35559]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),2.39
2024,"Windsor, Ontario [35559]",Homicide [110],Percentage contribution to the Crime Severity Index (CSI),2.83
2021,"Windsor, Ontario [35559]",Homicide [110],Unfounded incidents,0
2022,"Windsor, Ontario [35559]",Homicide [110],Unfounded incidents,0
2023,"Windsor, Ontario [35559]",Homicide [110],Unfounded incidents,0
2024,"Windsor, Ontario [35559]",Homicide [110],Unfounded incidents,0
2021,"Windsor, Ontario [35559]",Homicide [110],Percent unfounded,0
2022,"Windsor, Ontario [35559]",Homicide [110],Percent unfounded,0
2023,"Windsor, Ontario [35559]",Homicide [110],Percent unfounded,0
2024,"Windsor, Ontario [35559]",Homicide [110],Percent unfounded,0
2021,"Windsor, Ontario [35559]",Homicide [110],Total cleared,9
2022,"Windsor, Ontario [35559]",Homicide [110],Total cleared,4
2023,"Windsor, Ontario [35559]",Homicide [110],Total cleared,5
2024,"Windsor, Ontario [35559]",Homicide [110],Total cleared,6
2021,"Windsor, Ontario [35559]",Homicide [110],Cleared by charge,9
2022,"Windsor, Ontario [35559]",Homicide [110],Cleared by charge,3
2023,"Windsor, Ontario [35559]",Homicide [110],Cleared by charge,5
2024,"Windsor, Ontario [35559]",Homicide [110],Cleared by charge,3
2021,"Windsor, Ontario [35559]",Homicide [110],Cleared otherwise,0
2022,"Windsor, Ontario [35559]",Homicide [110],Cleared otherwise,1
2023,"Windsor, Ontario [35559]",Homicide [110],Cleared otherwise,0
2024,"Windsor, Ontario [35559]",Homicide [110],Cleared otherwise,3
2021,"Windsor, Ontario [35559]",Homicide [110],"Total, persons charged",10
2022,"Windsor, Ontario [35559]",Homicide [110],"Total, persons charged",5
2023,"Windsor, Ontario [35559]",Homicide [110],"Total, persons charged",8
2024,"Windsor, Ontario [35559]",Homicide [110],"Total, persons charged",8
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Actual incidents,7
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Actual incidents,3
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Actual incidents,4
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Actual incidents,3
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]","Rate per 100,000 population",1.59
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]","Rate per 100,000 population",0.66
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]","Rate per 100,000 population",0.85
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]","Rate per 100,000 population",0.62
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage change in rate,
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage change in rate,
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage change in rate,
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage change in rate,
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),3.34
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),1.54
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),1.92
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),1.41
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Unfounded incidents,0
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Unfounded incidents,0
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Unfounded incidents,0
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Unfounded incidents,0
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percent unfounded,0
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percent unfounded,0
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percent unfounded,0
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Percent unfounded,0
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Total cleared,6
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Total cleared,3
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Total cleared,4
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Total cleared,3
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared by charge,6
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared by charge,2
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared by charge,4
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared by charge,3
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared otherwise,0
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared otherwise,1
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared otherwise,0
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]",Cleared otherwise,0
2021,"Windsor, Ontario [35559]","Murder, first degree [1110]","Total, persons charged",7
2022,"Windsor, Ontario [35559]","Murder, first degree [1110]","Total, persons charged",4
2023,"Windsor, Ontario [35559]","Murder, first degree [1110]","Total, persons charged",7
2024,"Windsor, Ontario [35559]","Murder, first degree [1110]","Total, persons charged",8
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Actual incidents,2
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Actual incidents,0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Actual incidents,0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Actual incidents,1
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.45
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Rate per 100,000 population",0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Rate per 100,000 population",0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.21
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage change in rate,
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage change in rate,
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage change in rate,
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage change in rate,
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.1
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.05
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Unfounded incidents,0
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Unfounded incidents,0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Unfounded incidents,0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Unfounded incidents,0
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percent unfounded,0
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percent unfounded,
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percent unfounded,
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Percent unfounded,0
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Total cleared,2
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Total cleared,0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Total cleared,0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Total cleared,1
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared by charge,2
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared by charge,0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared by charge,0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared by charge,1
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared otherwise,0
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared otherwise,0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared otherwise,0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],Cleared otherwise,0
2021,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Total, persons charged",1
2022,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Total, persons charged",0
2023,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Total, persons charged",0
2024,"Windsor, Ontario [35559]",Criminal negligence causing death [1150],"Total, persons charged",1
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Actual incidents,6
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Actual incidents,21
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Actual incidents,13
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Actual incidents,7
2021,"Windsor, Ontario [35559]",Attempted murder [1210],"Rate per 100,000 population",1.36
2022,"Windsor, Ontario [35559]",Attempted murder [1210],"Rate per 100,000 population",4.64
2023,"Windsor, Ontario [35559]",Attempted murder [1210],"Rate per 100,000 population",2.77
2024,"Windsor, Ontario [35559]",Attempted murder [1210],"Rate per 100,000 population",1.45
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage change in rate,
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage change in rate,240.03
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage change in rate,-40.22
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage change in rate,-47.82
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0.68
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),2.56
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),1.48
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0.78
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Unfounded incidents,0
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Unfounded incidents,0
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Unfounded incidents,0
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Unfounded incidents,0
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Percent unfounded,0
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Percent unfounded,0
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Percent unfounded,0
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Percent unfounded,0
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Total cleared,5
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Total cleared,22
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Total cleared,11
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Total cleared,7
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared by charge,5
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared by charge,20
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared by charge,11
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared by charge,7
2021,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared otherwise,0
2022,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared otherwise,2
2023,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared otherwise,0
2024,"Windsor, Ontario [35559]",Attempted murder [1210],Cleared otherwise,0
2021,"Windsor, Ontario [35559]",Attempted murder [1210],"Total, persons charged",9
2022,"Windsor, Ontario [35559]",Attempted murder [1210],"Total, persons charged",19
2023,"Windsor, Ontario [35559]",Attempted murder [1210],"Total, persons charged",10
2024,"Windsor, Ontario [35559]",Attempted murder [1210],"Total, persons charged",14
2021,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Actual incidents,273
2022,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Actual incidents,247
2023,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Actual incidents,285
2024,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Actual incidents,323
2021,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]","Rate per 100,000 population",62.09
2022,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]","Rate per 100,000 population",54.58
2023,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]","Rate per 100,000 population",60.81
2024,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]","Rate per 100,000 population",66.78
2021,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage change in rate,26.62
2022,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage change in rate,-12.1
2023,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage change in rate,11.42
2024,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage change in rate,9.82
2021,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),4.29
2022,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),4.18
2023,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),4.49
2024,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5
2021,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Unfounded incidents,6
2022,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Unfounded incidents,8
2023,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Unfounded incidents,6
2024,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Unfounded incidents,9
2021,"Windsor, Ontario [35559]","Sexual assault, level 1 [1330]",Percent unfounded,2.15
